Keys  names
FC  FUNNEL CLOUD  
 TS  THUNDERSTORM  
 GR  HAIL  
 RA  RAIN 
DZ  DRIZZLE  
 SN  SNOW  
 SG  SNOW GRAINS  
 GS  SMALL HAIL &/OR SNOW PELLETS  
 PL  ICE PELLETS  
 IC  ICE CRYSTALS  
 FG+  HEAVY FOG (FG & LE.25 MILES VISIBILITY)  
 FG  FOG  
 BR  MIST  
 UP  UNKNOWN PRECIPITATION  
 HZ  HAZE  
 FU  SMOKE  
 VA  VOLCANIC ASH  
 DU  WIDESPREAD DUST  
 DS  DUSTSTORM  
 PO  SAND/DUST WHIRLS  
 SA  SAND  
 SS  SANDSTORM  
 PY  SPRAY  
 SQ  SQUALL   
 DR  LOW DRIFTING  
 SH  SHOWER  
 FZ  FREEZING  
 MI  SHALLOW  
 PR  PARTIAL  
 BC  PATCHES  
 BL  BLOWING  
 VC  VICINITY  
  -   LIGHT  
  +   HEAVY
